idx,FIPS,new_cases_7_day_average,new_deaths_7_day_average,population
109,4015.0,176.57142857142858,2.142857142857143,212181.0
110,4017.0,122.14285714285714,1.7142857142857142,110924.0
111,80004.0,0.0,0.0,
112,4019.0,1056.7142857142858,12.428571428571429,1047279.0
113,4021.0,402.14285714285717,4.0,462789.0
114,4023.0,65.57142857142857,1.1428571428571428,46498.0
115,90004.0,1.5714285714285714,0.0,
116,4025.0,190.28571428571428,3.0,235099.0
117,4027.0,388.0,2.4285714285714284,213787.0
118,5001.0,9.428571428571429,0.42857142857142855,17486.0
119,5003.0,15.142857142857142,0.2857142857142857,19657.0
120,5005.0,18.714285714285715,0.8571428571428571,41932.0
121,5007.0,164.14285714285714,3.4285714285714284,279141.0
122,5009.0,23.857142857142858,0.2857142857142857,37432.0
123,5011.0,13.571428571428571,0.14285714285714285,10763.0
124,5013.0,1.8571428571428572,0.0,5189.0
